,Actual Location,Clouds(%),Country,Date,Humidity(%),Latitude,Longitude,Max_temp,Min_temp,Pressure(hpa),Returned Location,Temparature(in celcius),Time,Weather_Condition,Weather_Description,Wind_Speed(m/s)
85,Kudat,75,MY,06/29/2018,74,6.8895,116.8431,30.0,30.0,1008,Kudat,30.0,13:02:53,Clouds,broken clouds,1
86,Pekan,75,MY,06/29/2018,78,3.4901,103.3937,28.0,28.0,1010,Pekan,28.0,13:02:54,Clouds,broken clouds,2.1
87,Bahau,75,MY,06/29/2018,94,2.8087,102.3964,25.0,25.0,1011,Bahau,25.0,13:02:55,Rain,light rain,1.46
88,Bakri,75,MY,06/29/2018,94,2.05,102.6667,25.0,25.0,1011,Bakri,25.0,13:02:56,Rain,light rain,4.96
89,Kuah,75,MY,06/29/2018,74,6.3265,99.8432,29.0,29.0,1010,Kuah,29.0,13:02:57,Clouds,broken clouds,2.6
90,Bidur,90,MY,06/29/2018,100,4.1167,101.2833,25.0,22.0,1013,Bidur,23.56,13:02:58,Rain,heavy intensity rain,2.1
91,Sarikei,75,MY,06/29/2018,70,2.1295,111.5231,30.0,30.0,1009,Sarikei,30.0,13:02:59,Clouds,broken clouds,2.1
92,Kampong Masjid Tanah,75,MY,06/29/2018,94,2.35,102.1167,26.0,25.0,1011,Kampong Masjid Tanah,25.58,13:03:00,Rain,light rain,4.71
93,Tanah Merah,75,MY,06/29/2018,83,5.721,100.3925,29.0,26.0,1010,Tanah Merah,27.03,13:03:01,Rain,light rain,4.6
94,Serendah,75,MY,06/29/2018,69,3.3646,101.6062,28.0,26.0,1012,Serendah,26.85,13:03:02,Rain,light rain,3.6
95,Tampin,75,MY,06/29/2018,94,2.4672,102.2358,26.0,25.0,1011,Tampin,25.58,13:03:03,Rain,light rain,4.71
96,Tapah Road,90,MY,06/29/2018,100,4.1697,101.1965,25.0,22.0,1013,Tapah Road,23.55,13:03:04,Rain,heavy intensity rain,2.1
97,Parit Buntar,75,MY,06/29/2018,88,5.1314,100.487,26.0,26.0,1011,Parit Buntar,26.0,13:03:05,Rain,light rain,2.1
98,Simanggang,75,MY,06/29/2018,78,1.2472,111.4528,28.0,28.0,1010,Simanggang,28.0,13:03:06,Clouds,broken clouds,2.1
99,Permatang Kuching,75,MY,06/29/2018,83,5.4634,100.3814,26.0,26.0,1010,Permatang Kuching,26.0,13:03:07,Rain,light rain,4.6
100,Yong Peng,36,MY,06/29/2018,85,2.0111,103.0666,29.45,29.45,1018.8,Yong Peng,29.45,13:03:07,Clouds,scattered clouds,4.01
101,Sungai Besar,90,MY,06/29/2018,88,3.6774,100.9864,25.0,25.0,1011,Sungai Besar,25.0,13:03:08,Clouds,overcast clouds,2.1
102,Limbang,75,MY,06/29/2018,59,4.75,115,32.0,30.0,1009,Limbang,30.84,13:03:09,Clouds,broken clouds,1.5
103,Sungai Udang,75,MY,06/29/2018,94,2.3134,102.1246,26.0,25.0,1011,Sungai Udang,25.59,13:03:10,Rain,light rain,4.71
104,Batu Berendam,75,MY,06/29/2018,94,2.2475,102.2474,25.0,25.0,1011,Batu Berendam,25.0,13:03:11,Rain,light rain,4.71
105,Jenjarum,75,MY,06/29/2018,94,2.8833,101.5,28.0,26.0,1011,Jenjarum,27.0,13:03:12,Rain,light rain,1.5
106,Kertih,75,MY,06/29/2018,70,4.5141,103.4483,30.0,30.0,1009,Kertih,30.0,13:03:13,Clouds,broken clouds,2.1
107,Tanjung Tokong,75,MY,06/29/2018,83,5.4461,100.3053,26.0,26.0,1010,Tanjung Tokong,26.0,13:03:14,Rain,light rain,4.6
108,Ladang Seri Kundang,75,MY,06/29/2018,69,3.2856,101.519,28.0,26.0,1012,Ladang Seri Kundang,26.84,13:03:15,Rain,light rain,3.6
109,Pekan Nenas,75,MY,06/29/2018,88,1.51,103.5141,26.0,24.0,1011,Pekan Nenas,24.73,13:03:16,Rain,moderate rain,1.5
110,Peringat,75,MY,06/29/2018,66,5.9873,102.2957,31.0,31.0,1009,Peringat,31.0,13:03:17,Clouds,broken clouds,1.5
111,Batu Arang,75,MY,06/29/2018,69,3.3107,101.4913,28.0,26.0,1012,Batu Arang,26.84,13:03:17,Rain,light rain,3.6
112,Tanjung Sepat,75,MY,06/29/2018,94,2.6599,101.5629,28.0,26.0,1011,Tanjung Sepat,27.11,13:03:18,Rain,light rain,1.5
113,Mersing,36,MY,06/29/2018,87,2.4276,103.8364,29.85,29.85,1018.07,Mersing,29.85,13:03:19,Clouds,scattered clouds,3.91
114,Labis,44,MY,06/29/2018,66,2.3836,103.0211,30.8,30.8,1007.21,Labis,30.8,13:03:20,Clouds,scattered clouds,2.51
115,Marang,75,MY,06/29/2018,70,5.2056,103.2059,31.0,31.0,1009,Marang,31.0,13:03:21,Clouds,broken clouds,2.1
116,Kuang,75,MY,06/29/2018,69,3.2554,101.5532,28.0,26.0,1012,Kuang,26.85,13:03:22,Rain,light rain,3.6
